IBTS species,Code,Common name,ICES Statlant name,Functional group
Acentronura,,Other,,unclassified
Acipenser sturio,STU,(EUROPEAN)STURGEON,,unclassified
Agonus cataphractus,POG,POGGE (ARMED BULLHEAD),,Small demersal fish
Alosa,,Miscellaneous filter feeding pelagic fish,,Miscellaneous filter feeding pelagic fish
Alosa alosa,AAS,ALLIS SHAD,,Miscellaneous filter feeding pelagic fish
Alosa fallax,TAS,TWAITE SHAD,,Miscellaneous filter feeding pelagic fish
Amblyraja radiata,,Starry Ray,,Starry ray + others
Ammodytes,,Sandeel,,Sandeel
Ammodytes marinus,,Lesser sandeel,,Sandeel
Ammodytes tobianus,TSE,SANDEEL,,Sandeel
Ammodytidae,,Sandeel,,Sandeel
Anarhichas lupus,CAA,CATFISH (WOLFFISH),Atlantic wolffish,Catfish (Wolf-fish)
Anarhichas minor,,Catfish (Wolf-fish),,Catfish (Wolf-fish)
Anarhichas ocellatus,,Catfish (Wolf-fish),,Catfish (Wolf-fish)
Anguilla anguilla,ELE,EUROPEAN EEL,,Small demersal fish
Anguillidae,EEL,EELS,European eel,Small demersal fish
Aphia minuta,TPG,TRANSPARENT GOBY,,Small demersal fish
Argentina,,Argentine,,Other gadoids (small)
Argentina silus,GSS,GT SILVER SMELT,,Other gadoids (small)
Argentina sphyraena,LSS,LSR SILVER SMELT,,Other gadoids (small)
Argentinidae,ARG,ARGENTINES,Argentines,Other gadoids (small)
Arnoglossus,,Small demersal fish,,Small demersal fish
Arnoglossus imperialis,ISF,IMPERIAL SCALDFISH,,Small demersal fish
Arnoglossus laterna,SDF,SCALD FISH,,Small demersal fish
Arnoglossus thori,,Small demersal fish,,Small demersal fish
Artediellus europaeus,,Other,,unclassified
Aspitrigla cuculus,GUR,RED GURNARD,Red gurnard,Gurnards
Atherina presbyter,,Other,,unclassified
Austrorossia,,Other,,unclassified
Belone belone,GAR,GARFISH,Garfish,unclassified
Blenniidae,,Small demersal fish,,Small demersal fish
Blennius,,Small demersal fish,,Small demersal fish
Blennius ocellaris,,Other,,unclassified
Boops boops,,Other,,unclassified
Bothidae,,Other,,unclassified
Brama brama,,Ray's bream,,unclassified
Brosme brosme,USK,TUSK,,Other gadoids (large)
Buglossidium,,Small demersal fish,,Small demersal fish
Buglossidium luteum,SOT,SOLENETTE,,Small demersal fish
Callionymidae,DTX,DRAGONETS,,Dragonets
Callionymus,,Dragonets,,Dragonets
Callionymus lyra,CDT,COMMON DRAGONET,,Dragonets
Callionymus maculatus,SDT,SPOTTED DRAGONET,,Dragonets
Callionymus reticulatus,RDT,RETICULATE DRAGONET,,Dragonets
Cancer pagurus,CRE,EDIBLE CRAB,Edible crab,Large crabs
Caproidae,,Other,,unclassified
Capros aper,BOF,BOAR FISH,,unclassified
Cephalopoda,,Cephalopods,,unclassified
Cepola rubescens,,Other,,unclassified
Chelidonichthys cuculus,,Other,,unclassified
Chelidonichthys gurnardus,,Other,,unclassified
Chelidonichthys lucerna,,Other,,unclassified
Chelidonichthys obscurus,,Other,,unclassified
Chelon labrosus,,Other,,unclassified
Chimaera monstrosa,RBF,RABBIT FISH(RAT-TAIL),,Large demersal fish
Ciliata mustella,,Other,,unclassified
Ciliata septentrionalis,,Other,,unclassified
Clupea harengus,HER,HERRING,Atlantic herring,Herring (adult)
Conger conger,COE,EUROPEAN CONGER EEL,,Large demersal fish
Coryphaenoides rupestris,,Roundnose grenadier,Roundnose grenadier,Large demersal fish
Cottidae,,Small demersal fish,,Small demersal fish
Crystallogobius linearis,CLG,CRYSTAL GOBY,,Small demersal fish
Ctenolabrus rupestris,GDY,GOLDSINNY,,Small demersal fish
Cyclopteridae,,Small demersal fish,,Small demersal fish
Cyclopterus lumpus,LUM,LUMPSUCKER,,Small demersal fish
Dasyatis pastinaca,,Starry ray + others,,Starry ray + others
Dicentrarchus,,Bass,,Large demersal fish
Dicentrarchus labrax,,Bass,,Large demersal fish
Diplecogaster bimaculata,TSC,TWP SPOTTED CLINGFISH,,Small demersal fish
Dipturus batis,,Blue skate,,Skate + Cuckoo ray
Dipturus linteus,,Sail ray,,Skate + Cuckoo ray
Dipturus oxyrinchus,,Longnosed skate,,Skate + Cuckoo ray
Echiodon drummondii,,Other,,unclassified
Eledone cirrhosa,,Cephalopods,,Cephalopods
Enchelyopus cimbrius,FRR,FOUR-BEARDED ROCKLING,,Other gadoids (small)
Engraulis encrasicolus,ANE,EUROPEAN ANCHOVY,,Miscellaneous filter feeding pelagic fish
Entelurus aequerius,,Other,,unclassified
Etmopterus spinax,VBY,VELVET BELLY,,Small demersal fish
Eutrigla gurnardus,GUG,GREY GURNARD,Grey gurnard,Gurnards
Gadiculus,,Other,,unclassified
Gadiculus argenteus,SYP,SILVERY POUT,,Small demersal fish
Gadus morhua,COD,COD,Atlantic cod,Cod (adult)
Gaidropsarus,,Other gadoids (small),,Other gadoids (small)
Gaidropsarus argentatus,,Other gadoids (small),,Other gadoids (small)
Gaidropsarus macrophthalmus,,Other gadoids (small),,Other gadoids (small)
Gaidropsarus mediterraneus,,Shore rockling,,Other gadoids (small)
Gaidropsarus vulgaris,TBR,THREE-BEARDED ROCKLING,,Other gadoids (small)
Galeorhinus galeus,GAG,TOPE SHARK,Tope shark,Large piscivorous sharks
